url,title,text,claimYear,claimant_party,textualRating,ratingsimp,T/F RQ1,claimant_canonical_name,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
https://www.politifact.com/factchecks/2019/mar/12/joni-ernst/joni-ernst-says-green-new-deal-would-cost-93-trill/,Ernst uses flabby $93 trillion estimate for Green New Deal PolitiFact is a fact-checking,At $93 trillion; the Green New Deal would cost more than the entire recorded spending of the U.S. since the Constitution went into effect in 1789.',2019,Republican,FALSE,2 False,False(ish),Joni Ernst,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.politifact.com/factchecks/2020/aug/27/mike-pence/pence-rnc-speech-praises-trumps-covid-19-seamless-/,Pence in RNC speech praises Trump's COVID-19 'seamless' response; leaves out his state feuds,President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.',2020,Republican,Mostly False,3 Mostly False,False(ish),Mike Pence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
http://www.politifact.com/factchecks/2012/feb/07/newt-gingrich/newt-gingrich-says-epa-plans-boost-gas-prices-25-c/,Newt Gingrich says EPA plans to boost gas prices 25 cents per gallon,Says President Barack Obama 'has an Environmental Protection Agency proposal that would raise the price of gasoline by 25 cents a gallon.',2012,Republican,FALSE,2 False,False(ish),Newt Gingrich,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.politifact.com/factchecks/2019/oct/09/ron-johnson/wisconsin-gop-sen-ron-johnson-overreaches-economy-/,Wisconsin GOP Sen. Ron Johnson overreaches on economic growth claim,Republican policies have led to business investment growth that’s 10 times faster than what we saw under President Obama.',2019,Republican,Mostly False,3 Mostly False,False(ish),Ron Johnson (Wisconsin politician),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
http://www.politifact.com/factchecks/2016/oct/12/pat-mccrory/mccrory-says-syrian-refugees-not-properly-vetted-o/,McCrory says Syrian refugees not properly vetted or tracked by the FBI once in the US,Says Syrian refugees are not being vetted; and 'the FBI is not even being told where they are.',2016,Republican,Mostly False,3 Mostly False,False(ish),Pat McCrory,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.politifact.com/factchecks/2017/aug/16/roy-moore/alabamas-roy-moore-says-whole-communities-midwest-/,Alabama's Roy Moore says whole communities in Midwest are under Sharia law,There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law; as I understand it; in Illinois; Indiana -- up there. I don't know.',2017,Republican,Pants on Fire,1 Pants On Fire,False(ish),Roy Moore,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.politifact.com/factchecks/2018/sep/06/andrew-cuomo/cuomo-claims-his-gun-control-law-toughest/,Cuomo claims his gun control law is toughest,We passed the toughest gun control law in the United States of America; the SAFE Act.',2018,Democratic,Mostly False,3 Mostly False,False(ish),Andrew Cuomo,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
https://www.politifact.com/factchecks/2019/mar/28/kamala-harris/kamala-harris-wrong-trump-isnt-raiding-money-milit/,Kamala Harris is wrong; Trump isn't 'raiding money' from military pensions,Says Trump administration is ‘raiding money’ from military service member pensions to pay for the border wall.,2019,Democratic,FALSE,2 False,False(ish),Kamala Harris,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.politifact.com/factchecks/2019/aug/06/dianne-feinstein/fact-check-are-there-more-gun-deaths-far-america-a/,Fact Check: Are there 'more gun deaths by far' in America than any other country?,There are 'more gun deaths by far' in the United States than any other country in the world.,2019,Democratic,FALSE,2 False,False(ish),Dianne Feinstein,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
http://www.politifact.com/factchecks/2017/may/23/thom-tillis/was-2016-one-deadliest-years-ever-police-officers-/,Was 2016 'one of the deadliest years ever' for police officers in the US?,Last year was one of the deadliest years ever for law enforcement officers.',2017,Republican,FALSE,2 False,False(ish),Thom Tillis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
